gene,total,mean,var,sd,min,max,median
CNAG_00313,3373,112.43333333333334,995.4264367816091,31.550379344496147,58,165,114.5
CNAG_00314,4025,134.16666666666666,1677.867816091954,40.96178482551699,88,247,128.5
CNAG_00315,2848,94.93333333333334,2076.8919540229886,45.5729300574693,30,215,83.5
CNAG_00316,16486,549.5333333333333,23471.42988505747,153.20388338765264,287,875,545.5
CNAG_00317,6224,207.46666666666667,2632.5333333333333,51.308218964736376,104,299,198
CNAG_00318,46965,1565.5,143304.60344827586,378.55594493849367,762,2388,1569
CNAG_00319,19848,661.6,18859.28275862069,137.32910382952585,362,885,676.5
CNAG_00320,4429,147.63333333333333,1111.6885057471263,33.34199312799291,77,202,145.5
CNAG_00321,447,14.9,102.02413793103449,10.100699873327317,3,39,13
CNAG_00322,8008,266.93333333333334,8945.995402298851,94.58327231756603,67,473,251
CNAG_00323,385,12.833333333333334,59.729885057471265,7.7285111798761905,3,27,10
CNAG_00326,32213,1073.7666666666667,47053.081609195404,216.9172229427516,583,1444,1062
CNAG_00327,2355,78.5,481.91379310344826,21.95253500403651,31,117,76.5
CNAG_00328,8412,280.4,9804.31724137931,99.0167523269639,119,515,253
CNAG_00329,54466,1815.5333333333333,277501.91264367814,526.784503040549,643,2824,1966.5
CNAG_00330,7829,260.96666666666664,4873.895402298851,69.8132895822769,118,380,256
CNAG_00331,2182,72.73333333333333,1013.8574712643679,31.84112861166149,12,132,76.5
CNAG_00332,8710,290.3333333333333,12315.954022988506,110.97726804615667,133,496,251
CNAG_00333,6551,218.36666666666667,2931.1367816091956,54.13997397126448,95,310,219
CNAG_00334,1617149,53904.96666666667,481455964.2402299,21942.104827026735,16806,110958,54878
CNAG_00335,7428,247.6,3484.455172413793,59.02927385978751,133,391,251.5
CNAG_00337,36441,1214.7,334640.28620689653,578.481016289123,401,2442,1142
CNAG_00342,17052,568.4,26773.35172413793,163.62564506866866,301,991,531
CNAG_00343,3724,124.13333333333334,1056.3954022988505,32.502236881464796,68,203,127
CNAG_00344,3015,100.5,775.8448275862069,27.853991232608063,46,151,100.5
CNAG_00345,15963,532.1,32661.196551724137,180.7240895722652,233,959,501
CNAG_00346,5441,181.36666666666667,3879.481609195402,62.28548473918624,101,332,187.5
CNAG_00347,7215,240.5,3292.396551724138,57.37940877809859,148,356,243
CNAG_00348,6071,202.36666666666667,19778.86091954023,140.63733828375817,62,507,122.5
CNAG_00349,1145,38.166666666666664,989.3850574712644,31.454491848880096,4,124,36
CNAG_00351,3454,115.13333333333334,869.8436781609196,29.493112385113232,55,166,116.5
